CAR_DRIVER,CAR_PASSENGER,BIKE,BUS_TRAM,TRAIN,WALK
"0.008","0.14","0.384","0.108","0.004","0.356"
"0.023809523809523808","0.23015873015873015","0.36507936507936506","0.07539682539682539","0.0","0.3055555555555556"
"0.01593625498007968","0.1553784860557769","0.36254980079681276","0.09163346613545817","0.02390438247011952","0.350597609561753"
"0.01593625498007968","0.1752988047808765","0.3466135458167331","0.12749003984063745","0.00796812749003984","0.32669322709163345"
"0.03162055335968379","0.11067193675889328","0.35177865612648224","0.13043478260869565","0.007905138339920948","0.3675889328063241"
"0.008","0.244","0.308","0.144","0.012","0.284"
"0.008","0.172","0.36","0.068","0.008","0.384"
"0.01593625498007968","0.20318725099601595","0.3107569721115538","0.09561752988047809","0.0199203187250996","0.3545816733067729"
"0.023809523809523808","0.09523809523809523","0.3531746031746032","0.19444444444444445","0.011904761904761904","0.32142857142857145"
"0.01593625498007968","0.30677290836653387","0.35856573705179284","0.05976095617529881","0.01195219123505976","0.24701195219123506"
"0.008","0.156","0.396","0.068","0.008","0.364"
"0.0","0.23293172690763053","0.30120481927710846","0.10843373493975904","0.004016064257028112","0.3534136546184739"
"0.008","0.104","0.392","0.112","0.016","0.368"
"0.0","0.20883534136546184","0.357429718875502","0.0642570281124498","0.01606425702811245","0.3534136546184739"
"0.023809523809523808","0.05555555555555555","0.35714285714285715","0.16666666666666666","0.015873015873015872","0.38095238095238093"
"0.01593625498007968","0.17131474103585656","0.350597609561753","0.12749003984063745","0.01195219123505976","0.32270916334661354"
"0.03162055335968379","0.09486166007905138","0.41106719367588934","0.05533596837944664","0.011857707509881422","0.3952569169960474"
"0.03162055335968379","0.22134387351778656","0.31225296442687744","0.11462450592885376","0.015810276679841896","0.30434782608695654"
"0.023809523809523808","0.11904761904761904","0.3412698412698413","0.15476190476190477","0.01984126984126984","0.3412698412698413"
"0.023809523809523808","0.2896825396825397","0.27380952380952384","0.10317460317460317","0.007936507936507936","0.30158730158730157"
"0.023809523809523808","0.17857142857142858","0.36507936507936506","0.0992063492063492","0.003968253968253968","0.32936507936507936"
"0.008","0.192","0.3","0.196","0.0","0.304"
"0.0","0.1285140562248996","0.3654618473895582","0.0642570281124498","0.012048192771084338","0.42971887550200805"
"0.0","0.3413654618473896","0.3293172690763052","0.028112449799196786","0.004016064257028112","0.2971887550200803"
"0.01593625498007968","0.13545816733067728","0.35856573705179284","0.13147410358565736","0.0199203187250996","0.3386454183266932"
"0.008","0.2","0.312","0.116","0.012","0.352"
"0.01593625498007968","0.08764940239043825","0.3147410358565737","0.16334661354581673","0.00398406374501992","0.41434262948207173"
"0.0","0.2248995983935743","0.3654618473895582","0.05622489959839357","0.020080321285140562","0.3333333333333333"
"0.0","0.10843373493975904","0.40160642570281124","0.11244979919678715","0.008032128514056224","0.36947791164658633"
"0.008","0.32","0.312","0.048","0.0","0.312"
"0.008","0.16","0.296","0.152","0.008","0.376"
"0.01593625498007968","0.23904382470119523","0.2908366533864542","0.07171314741035857","0.0199203187250996","0.36254980079681276"
"0.01593625498007968","0.09163346613545817","0.3147410358565737","0.18725099601593626","0.01195219123505976","0.3784860557768924"
"0.01593625498007968","0.32270916334661354","0.30278884462151395","0.05179282868525897","0.01195219123505976","0.2948207171314741"
"0.008","0.2","0.36","0.06","0.004","0.368"
"0.01593625498007968","0.26693227091633465","0.30278884462151395","0.08366533864541832","0.01195219123505976","0.3187250996015936"
"0.023809523809523808","0.11904761904761904","0.4087301587301587","0.1111111111111111","0.015873015873015872","0.32142857142857145"
"0.023809523809523808","0.23809523809523808","0.30952380952380953","0.047619047619047616","0.011904761904761904","0.36904761904761907"
"0.008","0.068","0.352","0.152","0.016","0.404"
"0.008","0.228","0.292","0.188","0.008","0.276"
"0.023809523809523808","0.19444444444444445","0.3333333333333333","0.09126984126984126","0.015873015873015872","0.3412698412698413"
"0.03162055335968379","0.233201581027668","0.2885375494071146","0.09090909090909091","0.007905138339920948","0.34782608695652173"
"0.01593625498007968","0.10756972111553785","0.3904382470119522","0.099601593625498","0.01195219123505976","0.3745019920318725"
"0.01593625498007968","0.17928286852589642","0.3386454183266932","0.14342629482071714","0.01593625498007968","0.30677290836653387"
"0.008","0.088","0.432","0.132","0.004","0.336"
"0.0","0.26506024096385544","0.24899598393574296","0.20080321285140562","0.0","0.285140562248996"
"0.008","0.128","0.432","0.048","0.012","0.372"
"0.0","0.2570281124497992","0.37349397590361444","0.024096385542168676","0.008032128514056224","0.3373493975903614"
"0.03162055335968379","0.12648221343873517","0.30434782608695654","0.1225296442687747","0.011857707509881422","0.4031620553359684"
"0.008","0.18","0.368","0.096","0.004","0.344"
"0.03162055335968379","0.1541501976284585","0.3241106719367589","0.13438735177865613","0.003952569169960474","0.35177865612648224"
"0.01593625498007968","0.26294820717131473","0.30278884462151395","0.08764940239043825","0.00398406374501992","0.32669322709163345"
"0.0","0.1606425702811245","0.3895582329317269","0.0963855421686747","0.012048192771084338","0.3413654618473896"
"0.008","0.212","0.348","0.1","0.0","0.332"
"0.01593625498007968","0.11553784860557768","0.32270916334661354","0.10358565737051793","0.0199203187250996","0.42231075697211157"
"0.008","0.248","0.24","0.148","0.028","0.328"
"0.01593625498007968","0.11155378486055777","0.4342629482071713","0.07569721115537849","0.00796812749003984","0.3545816733067729"
"0.0","0.24096385542168675","0.3172690763052209","0.08433734939759036","0.008032128514056224","0.3493975903614458"
"0.008","0.108","0.336","0.228","0.0","0.32"
"0.008","0.324","0.288","0.068","0.02","0.292"
